age,B1_ACCELERATED,B2_PRODUCTIVE_INVEST,B3_TRANSFER_CUT,B4_DELAYED_CONSOLIDATION
61,-0.25300247489187244,1.8468654530321205,-3.894557664323861,0.6801187832898847
62,-0.26276059473079316,1.7995437306034923,-3.967567702244812,0.7020640034647974
63,-0.27044991126202733,1.7488154634375697,-4.049138031428967,0.7177010300028819
64,-0.27613055144711796,1.6949796460055566,-4.135477157548761,0.7269078855031363
65,-0.2788531016965079,1.636790779673869,-4.26983857626081,0.7270886936683763
66,-0.2785382108520196,1.5742574343083016,-4.461886511429047,0.7185249106532732
67,-0.2777970270628538,1.5115190055742023,-4.605140164741739,0.7072783591358212
68,-0.27705403762263714,1.4494500403487764,-4.663180920206167,0.6961742840584595
69,-0.2747761587662434,1.3859716883712014,-4.713399279506925,0.6811890657042241
70,-0.27013663166534085,1.3204904380751392,-4.798497814728064,0.6605536705744042
71,-0.2636818529837659,1.253223443489393,-4.913026612552063,0.6330835883393116
72,-0.25612769993453854,1.185418636369917,-5.037979036381623,0.6008811965583227
73,-0.2478628517765702,1.1180446338582062,-5.166555506931703,0.5659613777364347
74,-0.24299318357237087,1.055903334640318,-5.089528160733925,0.5389715393552041
75,-0.23762682938581747,0.9943252091165089,-4.978527834411595,0.5103021753117387
76,-0.22885523497244709,0.9306280572282777,-4.9858959996877505,0.4737600044864898
77,-0.21868756940772727,0.8672545941619481,-5.017643517771509,0.43452830779227014
78,-0.20611897173260507,0.8035356680698547,-5.1412489774523955,0.3906832913650904
79,-0.1924817497767295,0.7411109346821654,-5.296451946403868,0.3461475204815212
80,-0.17819994944683337,0.6805203859749254,-5.472533195818219,0.30233726232655744
81,-0.16351585348696185,0.622156535135665,-5.662349779854314,0.26039150641929965
82,-0.14865163959507655,0.5661939256303761,-5.860622113090919,0.22094932685998714
83,-0.13383851131592017,0.5128039167689558,-6.064160187319811,0.18473093849558087
84,-0.11920316178004597,0.4620615650675619,-6.271121476556518,0.1522680651277808
85,-0.10482564505726044,0.4139735748095674,-6.4818896701063995,0.1236698213203713
86,-0.09035014246983053,0.3682619817555022,-6.725138399523701,0.09876917768991689
87,-0.07557461346805461,0.32480569680244376,-7.032901961251525,0.0777555578943323
88,-0.060895591811716,0.2839021728563429,-7.399789468406814,0.06140967613594839
89,-0.046993101320591535,0.24591887541025592,-7.796408396598265,0.04997224474139195
90,-0.034108468240534595,0.2108331273929176,-8.2162747331739,0.04323723488912634
91,0.34971189847818884,-8.877029993076047,-16.93626424767871,0.07955264151247032
92,3.3442717947113954,-0.10648816724478927,-1.2808614491393144,0.04406294371264163
93,-0.0021027904670622988,0.12034958602282764,12.499955451837351,0.04856072704826353
94,-0.01641392714375467,-0.8277737717620859,-11.188563759134961,0.06950388754523029
95,2.5793580705714803,-1.0909636069518003,5.906529061621146,0.08236673545560791
96,0.6713228642055036,-9.332444729164246,9.611644262520503,0.16236363539785525
97,0.11047122644873841,26.876087937973736,9.315705532780182,0.08688053091883141
98,-10.049700804606532,-2.9234065898215977,-54.04660219664032,0.4489394401168134
99,-0.01928727078972514,-0.023493411818586996,-8.92963873547814,0.04690759437759873
